,ID,Repl1_F1,Repl1_F2,Repl1_F3,Repl1_F4,Repl1_F5,Repl1_F6,Repl1_F7,Repl1_F8,Repl1_F9,Repl1_F10,Repl1_F11,Repl1_F12,Repl1_F13,Repl1_F1415,Repl1_F1617,Repl1_F18,Repl2_F1,Repl2_F2,Repl2_F3,Repl2_F4,Repl2_F5,Repl2_F6,Repl2_F7,Repl2_F8,Repl2_F9,Repl2_F10,Repl2_F11,Repl2_F12,Repl2_F13,Repl2_F1415,Repl2_F1617,Repl2_F18,Repl3_F1,Repl3_F2,Repl3_F3,Repl3_F4,Repl3_F5,Repl3_F6,Repl3_F7,Repl3_F8,Repl3_F9,Repl3_F10,Repl3_F11,Repl3_F12,Repl3_F13,Repl3_F1415,Repl3_F1617,Repl3_F18,Average_F1,Average_F2,Average_F3,Average_F4,Average_F5,Average_F6,Average_F7,Average_F8,Average_F9,Average_F10,Average_F11,Average_F12,Average_F13,Average_F1415,Average_F1617,Average_F18,SpCorAv,Average_Sum_readcount,Feature_subtype
1,6803r01,2.58E-05,1.57E-05,6.18E-05,0.000788327,0.010792373,0.017672308,0.013528523,0.009087978,0.012860596,0.010822275,0.009515882,0.009209741,0.007821913,0.016546803,0.01079113,0.870458861,5.47E-05,3.57E-05,6.77E-05,0.000975813,0.011730009,0.031166708,0.027314524,0.015868619,0.016730249,0.017219724,0.015438511,0.020345927,0.024732434,0.011373285,0.011619746,0.795175243,0.000151145,4.02E-05,5.77E-05,0.000514562,0.00901383,0.022008425,0.020675179,0.015896365,0.005747105,0.014337005,0.022069588,0.021625765,0.031448843,0.018480042,0.023428093,0.794657272,7.72E-05,3.05E-05,6.24E-05,7.60E-04,1.05E-02,2.36E-02,2.05E-02,1.36E-02,1.18E-02,1.41E-02,1.57E-02,1.71E-02,2.13E-02,1.55E-02,1.53E-02,8.20E-01,0.667647059,1953419.782,rRNA
2,6803r02,1.08E-05,2.28E-05,0.000237654,0.000754715,0.003537269,0.006543948,0.009800775,0.006590874,0.013203796,0.016031195,0.014359415,0.018169961,0.019453574,0.026390862,0.022822909,0.842069476,1.44E-05,1.54E-05,9.69E-05,0.000535364,0.003341263,0.012969591,0.018579782,0.015307501,0.012669612,0.012855836,0.013795398,0.010866584,0.012156722,0.015581284,0.017555985,0.853617225,4.12E-05,2.62E-05,0.000258581,0.001052048,0.005487809,0.01197995,0.031017543,0.021906102,0.010475672,0.015742776,0.024199511,0.020072123,0.021992359,0.016478088,0.022221654,0.797089596,2.21E-05,2.15E-05,1.98E-04,7.81E-04,4.12E-03,1.05E-02,1.98E-02,1.46E-02,1.21E-02,1.49E-02,1.75E-02,1.64E-02,1.79E-02,1.95E-02,2.09E-02,8.31E-01,0.803921569,7973416.441,rRNA
3,6803r03,1.13E-05,2.36E-05,0.000179776,0.000800392,0.002864717,0.005102182,0.010944411,0.011649478,0.039390964,0.051729765,0.0513509,0.057468081,0.100416539,0.115481022,0.405047793,0.147539133,8.22E-06,1.21E-05,7.92E-05,0.000391461,0.002383965,0.008986694,0.015235389,0.019722477,0.028738243,0.054164125,0.085530562,0.076659402,0.086208662,0.204638997,0.296146519,0.121053074,4.09E-05,1.80E-05,7.45E-05,0.000508076,0.002587589,0.004853634,0.01967532,0.02185636,0.018669867,0.04834581,0.11179657,0.112158507,0.132327109,0.092878793,0.370186696,0.064063194,2.01E-05,1.79E-05,1.11E-04,5.67E-04,2.61E-03,6.31E-03,1.53E-02,1.77E-02,2.89E-02,5.14E-02,8.29E-02,8.21E-02,1.06E-01,1.38E-01,3.57E-01,1.11E-01,0.953921569,5006450.224,rRNA
4,6803r04,1.13E-05,2.60E-05,0.000463935,0.002063707,0.004504755,0.005467431,0.011208048,0.011791759,0.039718255,0.051771557,0.051411252,0.057303053,0.099790581,0.114679032,0.402472496,0.147316874,8.25E-06,1.24E-05,0.000103445,0.000990487,0.003470936,0.009728271,0.015768291,0.019999728,0.029046028,0.054515845,0.085399287,0.076254189,0.085633831,0.203962617,0.294353748,0.1207119,4.07E-05,1.82E-05,0.000134734,0.001243374,0.004397121,0.006357525,0.020289848,0.02215723,0.018934849,0.048803322,0.112130001,0.111846474,0.13156368,0.09204825,0.366529545,0.063545895,2.01E-05,1.89E-05,2.34E-04,1.43E-03,4.12E-03,7.18E-03,1.58E-02,1.80E-02,2.92E-02,5.17E-02,8.30E-02,8.18E-02,1.06E-01,1.37E-01,3.54E-01,1.11E-01,0.952941176,5089610.762,rRNA
5,6803r05,1.13E-05,2.29E-05,0.000248655,0.000777788,0.00360299,0.006607683,0.009879945,0.006679421,0.013369608,0.016122842,0.014455279,0.018206978,0.019442674,0.026363908,0.022825855,0.841382205,1.45E-05,1.54E-05,9.81E-05,0.000546258,0.00340356,0.013140112,0.018737363,0.015509907,0.012879911,0.01302689,0.01391129,0.010914228,0.012195537,0.015628317,0.017557831,0.852379127,4.17E-05,2.62E-05,0.000262652,0.001085876,0.005596885,0.012175847,0.031440607,0.02223739,0.010767038,0.016028336,0.024528211,0.02025098,0.022105408,0.016514124,0.022235316,0.794745087,2.25E-05,2.15E-05,2.03E-04,8.03E-04,4.20E-03,1.06E-02,2.00E-02,1.48E-02,1.23E-02,1.51E-02,1.76E-02,1.65E-02,1.79E-02,1.95E-02,2.09E-02,8.30E-01,0.794117647,8037391.078,rRNA
6,6803r06,2.56E-05,1.56E-05,6.53E-05,0.000830274,0.011051393,0.017774581,0.01360362,0.009129834,0.012875612,0.010785364,0.009478899,0.009151506,0.007789057,0.016482138,0.010754309,0.870186988,5.39E-05,3.51E-05,6.79E-05,0.000988592,0.011804594,0.031223331,0.027284588,0.015897133,0.016566178,0.016995041,0.01523486,0.02009618,0.024402013,0.011329543,0.011599323,0.796272785,0.000148875,4.01E-05,5.87E-05,0.000526055,0.009168782,0.022391736,0.020971845,0.016125607,0.005857418,0.014255107,0.02205487,0.021577546,0.031397649,0.018407274,0.02345789,0.793709432,7.61E-05,3.03E-05,6.40E-05,7.82E-04,1.07E-02,2.38E-02,2.06E-02,1.37E-02,1.18E-02,1.40E-02,1.56E-02,1.69E-02,2.12E-02,1.54E-02,1.53E-02,8.20E-01,0.676470588,1977949.98,rRNA
7,6803s01,5.72E-06,1.17E-05,5.54E-05,0.000219633,0.002372118,0.012079703,0.032940293,0.07307948,0.404153232,0.323701912,0.099576862,0.024791852,0.011070831,0.00266122,0.010213064,0.003066944,8.97E-06,1.06E-05,7.87E-05,0.000308413,0.002462872,0.011236353,0.026317642,0.067449352,0.170374141,0.339567567,0.2566114,0.062125083,0.041834931,0.00899496,0.004330664,0.008212063,7.63E-05,1.69E-05,3.30E-05,0.000239787,0.002147036,0.005261617,0.034206269,0.056338208,0.103754293,0.262053755,0.364474494,0.106306731,0.056878555,0.005001882,0.001939259,0.001348156,3.03E-05,1.31E-05,5.57E-05,2.56E-04,2.33E-03,9.53E-03,3.12E-02,6.56E-02,2.26E-01,3.08E-01,2.40E-01,6.44E-02,3.66E-02,5.55E-03,5.49E-03,4.21E-03,0.945098039,368912.0332,ncRNA
8,6803t01,0,0.000122521,0.014573991,0.144862902,0.367982443,0.261648545,0.104546742,0.009081214,0.012342937,0.010131524,0.011429451,0.006148714,0.002146366,0.003416087,0.006541192,0.045025369,8.56E-05,0.000144538,0.001816378,0.148148653,0.368810403,0.244499215,0.131556446,0.033447564,0.020828708,0.0058379,0.00910059,0.00503165,0.005484972,0.002611532,0.003166623,0.019398014,3.12E-05,9.89E-05,0.005512665,0.089081811,0.462300958,0.273122806,0.109058394,0.018653172,0.012364283,0.005995253,0.005724904,0.003170949,0.003295561,0.001454216,0.001954903,0.00821121,3.89E-05,1.22E-04,7.30E-03,1.27E-01,4.00E-01,2.60E-01,1.15E-01,2.04E-02,1.52E-02,7.32E-03,8.75E-03,4.78E-03,3.64E-03,2.49E-03,3.89E-03,2.42E-02,0.901960784,1053.469174,tRNA
9,6803t01-3UTR(Kopf),0,0.000114621,0.003595859,0.040842405,0.305164577,0.312527964,0.158190323,0.012661306,0.019137496,0.01455325,0.015940367,0.007814393,0.003442241,0.003975297,0.008434894,0.093605006,0.000202388,0.000307398,0.00198103,0.052102633,0.232107985,0.338135726,0.223786255,0.0497042,0.025227044,0.009452388,0.009699966,0.004082762,0.006164561,0.002136198,0.006122421,0.038676574,0.000110471,0.000153618,0.002884954,0.034148878,0.367076632,0.323304962,0.173030759,0.032414879,0.016271269,0.012684608,0.005920399,0.005746796,0.004806086,0.002493055,0.003159905,0.015903202,1.04E-04,1.92E-04,2.82E-03,4.24E-02,3.01E-01,3.25E-01,1.85E-01,3.16E-02,2.02E-02,1.22E-02,1.05E-02,5.88E-03,4.80E-03,2.87E-03,5.91E-03,4.94E-02,0.947058824,299.8087928,3UTR
10,6803t02,2.79E-05,0.000103795,0.007359688,0.179331477,0.567343186,0.161591418,0.059146026,0.004885555,0.00321802,0.003238627,0.004013732,0.001441762,0.000866821,0.000606346,0.002858146,0.003967478,4.45E-05,5.16E-05,0.001165707,0.136516452,0.461304894,0.244592771,0.11057272,0.019629995,0.013006856,0.00324042,0.002206627,0.001658103,0.001685152,0.000890432,0.000522596,0.002842823,6.84E-05,1.80E-05,0.001578787,0.057901626,0.438476196,0.419161128,0.043820054,0.01321185,0.013368055,0.00555972,0.002345281,0.001084092,0.002204993,0.000223377,0.000361989,0.000684895,4.69E-05,5.78E-05,3.37E-03,1.25E-01,4.89E-01,2.75E-01,7.12E-02,1.26E-02,9.86E-03,4.01E-03,2.86E-03,1.39E-03,1.59E-03,5.73E-04,1.25E-03,2.50E-03,0.892156863,36491.59275,tRNA
