,ID,Repl1_F1,Repl1_F2,Repl1_F3,Repl1_F4,Repl1_F5,Repl1_F6,Repl1_F7,Repl1_F8,Repl1_F9,Repl1_F10,Repl1_F11,Repl1_F12,Repl1_F13,Repl1_F1415,Repl1_F1617,Repl1_F18,Repl2_F1,Repl2_F2,Repl2_F3,Repl2_F4,Repl2_F5,Repl2_F6,Repl2_F7,Repl2_F8,Repl2_F9,Repl2_F10,Repl2_F11,Repl2_F12,Repl2_F13,Repl2_F1415,Repl2_F1617,Repl2_F18,Repl3_F1,Repl3_F2,Repl3_F3,Repl3_F4,Repl3_F5,Repl3_F6,Repl3_F7,Repl3_F8,Repl3_F9,Repl3_F10,Repl3_F11,Repl3_F12,Repl3_F13,Repl3_F1415,Repl3_F1617,Repl3_F18,Average_F1,Average_F2,Average_F3,Average_F4,Average_F5,Average_F6,Average_F7,Average_F8,Average_F9,Average_F10,Average_F11,Average_F12,Average_F13,Average_F1415,Average_F1617,Average_F18,SpCorAv,Average_Sum_intensities,Feature_subtype
1,Norf2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236786878,0.763213122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412262293,0.587737707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43218464,4814766.667,Protein
2,Norf7,0.012926882,0.414660809,0.36316494,0.175651185,0.033596184,0,0,0,0,0,0,0,0,0,0,0,0.032336087,0.453407238,0.471373322,0,0,0,0,0,0.01688726,0.011631822,0,0,0,0,0,0,0.014364271,0.263400234,0.677865226,0.05873454,0,0,0,0,0,0,0,0,0,0,0,0,0.019875747,0.377156094,0.504134496,0.078128575,0.011198728,0,0,0,0.005629087,0.003877274,0,0,0,0,0,0,0.706973187,67928343.33,Protein
3,sll0002,0,0,0,0.176866292,0,0.488053908,0,0,0.009889558,0.018369244,0.019013007,0.018591443,0.026075663,0.088484266,0,0.154656619,0,0,0,0,0.28164384,0.151352762,0,0,0,0.096383337,0.096437494,0,0,0.074796329,0.026180069,0.273206169,0,0,0,0,0.301027529,0.272893267,0.179743072,0,0,0.031295424,0,0,0,0.009461458,0.064752431,0.140826818,0,0,0,0.058955431,0.19422379,0.304099979,0.059914357,0,0.003296519,0.048682668,0.0384835,0.006197148,0.008691888,0.057580684,0.030310833,0.189563202,0.380320281,23652530,Protein
4,sll0005,0,0.012151539,0.077312329,0.409380333,0.076115325,0.315836744,0.109203729,0,0,0,0,0,0,0,0,0,0.004553883,0,0,0.174700962,0.127862423,0.610792649,0.060048365,0.020819844,0,0,0,0,0,0,0,0,0.001221875,0,0,0.290392735,0.376875654,0.196546666,0.083886216,0.029977564,0,0,0.01817181,0.004149356,0,0,0,0,0.001925253,0.004050513,0.025770776,0.291491343,0.193617801,0.37439202,0.084379437,0.016932469,0,0,0.00605727,0.001383119,0,0,0,0,0.704812278,88724263.33,Protein
5,sll0006,0,0.000226585,0.001368655,0.229798423,0.371261196,0.296348687,0.065651173,0.023126647,0.008715911,0.003171788,0.000330936,0,0,0,0,0,0,0,0,0.106767784,0.481062797,0.294363994,0.109160872,0.005467777,0.001954853,0,0.000387761,0.000349016,0,0,0,0.000244318,0.000240828,0,0,0.065727794,0.424155944,0.420154085,0.069718689,0.012432625,0.003610444,0.00287846,0.001272701,0,0,4.93E-05,0,0,8.03E-05,7.55E-05,0.000456218,0.134098,0.425493312,0.336955589,0.081510245,0.013675683,0.004760403,0.002016749,0.000663799,0.000116339,0,1.64E-05,0,8.14E-05,0.833155007,4785354120,Protein
6,sll0007,0.000757936,0.131554643,0.60033,0.233492145,0.033865276,0,0,0,0,0,0,0,0,0,0,0,0.001802492,0.188771948,0.657802309,0.11739312,0.031751011,0,0,0,0.002479121,0,0,0,0,0,0,0,0,0.034999067,0.796765729,0.123542313,0.036025415,0.008667477,0,0,0,0,0,0,0,0,0,0,0.000853476,0.118441886,0.684966013,0.158142526,0.033880567,0.002889159,0,0,0.000826374,0,0,0,0,0,0,0,0.842657823,348747850,Protein
7,sll0008,0,0.103744275,0.343094777,0.436111828,0.106131165,0.010917955,0,0,0,0,0,0,0,0,0,0,0,0.074986311,0.438141722,0.411997348,0.073479843,0,0,0,0,0,0,0,0,0,0,0,0.001394776,0.033148209,0.629590361,0.29578204,0.041479389,0,0,0,0,0,0,0,0,0,0,0,0.000464925,0.070626265,0.47027562,0.381297072,0.073696799,0.003639318,0,0,0,0,0,0,0,0,0,0,0.892001985,524628873.3,Protein
8,sll0016,0,0.012309978,0.287684068,0.542858665,0.128436543,0.020672376,0,0,0.00803837,0,0,0,0,0,0,0,0,0.012678737,0.370225906,0.489146954,0.072586715,0.055361688,0,0,0,0,0,0,0,0,0,0,0,0.000624402,0.424792343,0.422947624,0.129275381,0.006261906,0.016098343,0,0,0,0,0,0,0,0,0,0,0.008537706,0.360900772,0.484984414,0.110099547,0.02743199,0.005366114,0,0.002679457,0,0,0,0,0,0,0,0.885644543,470840570,Protein
9,sll0017,0,0.000593536,0.016206084,0.265421028,0.343043489,0.25931722,0.068750647,0.027064948,0.009232365,0.005783003,0.003069884,0.001351402,0,0,0,0.000166393,0,0.000106229,0.004546678,0.139825709,0.435308792,0.275986298,0.110147881,0.01759671,0.006674928,0.005899052,0.003276562,0.000374049,0,0,0,0.00014203,0.000115082,0.00079297,0.006222893,0.161330715,0.386236628,0.316453814,0.083501065,0.020414019,0.009914887,0.007926336,0.006493876,0.000284109,0,1.45E-05,2.36E-05,0.000390599,3.84E-05,0.000497578,0.008991885,0.18885915,0.388196303,0.283919111,0.087466531,0.021691893,0.008607393,0.00653613,0.004280108,0.000669853,0,4.83E-06,7.86E-06,0.000233007,0.975289538,7297016630,Protein
10,sll0018,0,0.000715311,0.042604969,0.322778494,0.306628365,0.188535549,0.088620832,0.028397977,0.012888891,0.005107218,0.001563425,0.00141745,0.000323099,7.62E-05,2.09E-05,0.000321306,8.68E-05,0.000229029,0.009905202,0.126043927,0.26706337,0.376164276,0.183978487,0.022617302,0.007977835,0.003515536,0.001866543,0.000159469,0.000120996,5.56E-05,3.73E-06,0.000111502,0.000100301,0.000868212,0.019748003,0.099082674,0.259753487,0.38395362,0.150663463,0.045925645,0.016825889,0.015822677,0.006309337,0.000398973,0.000363485,3.22E-05,0.000105292,0.000147014,6.24E-05,0.000604184,0.024086058,0.182635032,0.277815074,0.316217815,0.141087594,0.032313641,0.012564205,0.008148477,0.003246435,0.000658631,0.000269193,5.47E-05,4.33E-05,0.000193274,0.973529412,90844148470,Protein
