Cluster;Reproducibility;Log2.Abundance.;Average.Spearmann.Correlation.Coefficient.between.Replicates;PearsonCorrCoeff_to_ME;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F1415;F1617;F18;Maximum.Fraction;Average.Fraction;No.of.peaks;Peak.fractions;Feature.Type;Feature.Subtype;Amino.Acid.Sequence.Length;locustag_ID;locustag;genename_1;TU;annotation..cyanobase.;GO.NAME;GOT_DNA_RNA_Nucleotide;Gene_ID_IndMode;location
16;All Replicates;22.255;0.954;0.901;0;0;0;0.001;0.003;0.006;0.015;0.018;0.029;0.051;0.083;0.082;0.106;0.138;0.357;0.111;16.5;14.241;2;11, 16.5;RNA;rRNA;NA;6803r03;6803r03;16S rRNA;;rRNA;NA;;16S rRNA/6803r03 (rRNA);Chr
16;All Replicates;22.279;0.953;0.9;0;0;0;0.001;0.004;0.007;0.016;0.018;0.029;0.052;0.083;0.082;0.106;0.137;0.354;0.111;16.5;14.2027;2;11, 16.5;RNA;rRNA;NA;6803r04;6803r04;16S rRNA;;rRNA;NA;;16S rRNA/6803r04 (rRNA);Chr
17;All Replicates;22.927;0.804;0.999;0;0;0;0.001;0.004;0.011;0.02;0.015;0.012;0.015;0.018;0.016;0.018;0.02;0.021;0.831;18;16.8083;1;18;RNA;rRNA;NA;6803r02;6803r02;23S rRNA;;rRNA;NA;;23S rRNA/6803r02 (rRNA);Chr
17;All Replicates;22.938;0.794;0.999;0;0;0;0.001;0.004;0.011;0.02;0.015;0.012;0.015;0.018;0.017;0.018;0.02;0.021;0.83;18;16.8005;1;18;RNA;rRNA;NA;6803r05;6803r05;23S rRNA;;rRNA;NA;;23S rRNA/6803r05 (rRNA);Chr
17;All Replicates;20.898;0.668;1;0;0;0;0.001;0.011;0.024;0.021;0.014;0.012;0.014;0.016;0.017;0.021;0.016;0.015;0.82;18;16.589;1;18;RNA;rRNA;NA;6803r01;6803r01;5S rRNA;;rRNA;NA;;5S rRNA/6803r01 (rRNA);Chr
17;All Replicates;20.916;0.676;0.999;0;0;0;0.001;0.011;0.024;0.021;0.014;0.012;0.014;0.016;0.017;0.021;0.015;0.015;0.82;18;16.5855;1;18;RNA;rRNA;NA;6803r06;6803r06;5S rRNA;;rRNA;NA;;5S rRNA/6803r06 (rRNA);Chr
8;All Replicates;15.432;0.889;-1;0;0;0.003;0.119;0.493;0.274;0.072;0.013;0.011;0.004;0.003;0.001;0.002;0.001;0.001;0.003;5;5.4887;1;5;RNA;transcript;NA;6803t02, ncl0080, sll1670;6803t02, ncl0080, sll1670;6803t02, ncl0080, sll1670;TU241;tRNA-OTHER, ncRNA, heat-inducible transcription repressor HrcA homolo g;transcript;;TU241 (6803t02, ncl0080, sll1670) - Transcr Unit;Chr
7;All Replicates;12.75;0.885;-1;0;0.001;0.049;0.193;0.428;0.178;0.086;0.015;0.014;0.006;0.006;0.003;0.003;0.002;0.004;0.011;5;5.4831;1;5;RNA;transcript;NA;6803t03;6803t03;6803t03;TU256;tRNA;transcript;;TU256 (6803t03) - Transcr Unit;Chr
8;All Replicates;7.376;0.766;-1;0;0;0.014;0.121;0.434;0.269;0.078;0.008;0.005;0.004;0.005;0.005;0.007;0.005;0.006;0.039;5;6.0909;1;5;RNA;transcript;NA;6803t04;6803t04;6803t04;TU317;tRNA;transcript;;TU317 (6803t04) - Transcr Unit;Chr
8;All Replicates;12.717;0.89;-1;0;0;0.007;0.131;0.449;0.275;0.083;0.017;0.008;0.004;0.003;0.004;0.004;0.002;0.003;0.01;5;5.6634;1;5;RNA;transcript;NA;6803t06, slr0695, slr1590;6803t06, slr0695, slr1590;6803t06, slr0695, slr1590;TU430;tRNA-OTHER, hypothetical protein, hypothetical protein;transcript;;TU430 (6803t06, slr0695, slr1590) - Transcr Unit;Chr
8;All Replicates;13.948;0.862;-1;0;0;0.009;0.189;0.548;0.187;0.049;0.007;0.003;0.001;0.002;0.001;0.001;0;0.001;0.002;5;5.1853;1;5;RNA;transcript;NA;6803t07;6803t07;6803t07;TU629;tRNA;transcript;;TU629 (6803t07) - Transcr Unit;Chr
7;All Replicates;13.247;0.94;-1;0;0;0.019;0.227;0.489;0.185;0.048;0.01;0.006;0.003;0.003;0.002;0.002;0.001;0.001;0.002;5;5.186;1;5;RNA;transcript;NA;6803t08, sll0990, sll0992;6803t08, sll0990, sll0992;6803t08, sll0990, sll0992;TU641;tRNA-OTHER, glutathione-dependent formaldehyde dehydrogenase, putative esterase;transcript;;TU641 (6803t08, sll0990, sll0992) - Transcr Unit;Chr
8;All Replicates;16.245;0.811;-1;0;0;0.006;0.11;0.497;0.254;0.097;0.01;0.005;0.003;0.005;0.002;0.002;0.001;0.002;0.007;5;5.5687;1;5;RNA;transcript;NA;6803t10;6803t10;6803t10;TU1004;tRNA;transcript;;TU1004 (6803t10) - Transcr Unit;Chr
8;All Replicates;14.053;0.934;-1;0;0;0.029;0.148;0.478;0.18;0.086;0.02;0.019;0.007;0.007;0.003;0.002;0.002;0.003;0.014;5;5.6311;1;5;RNA;transcript;NA;6803t11;6803t11;6803t11;TU1111;tRNA;transcript;;TU1111 (6803t11) - Transcr Unit;Chr
8;All Replicates;10.424;0.936;-1;0;0;0.014;0.125;0.421;0.303;0.103;0.013;0.006;0.003;0.004;0.002;0.002;0.001;0.001;0.003;5;5.5412;1;5;RNA;transcript;NA;6803t15;6803t15;6803t15;TU1587;tRNA;transcript;;TU1587 (6803t15) - Transcr Unit;Chr
7;All Replicates;11.947;0.927;-1;0;0;0.027;0.224;0.478;0.166;0.071;0.009;0.009;0.003;0.004;0.002;0.001;0.001;0.001;0.003;5;5.2145;1;5;RNA;transcript;NA;6803t16, ncr0650;6803t16, ncr0650;6803t16, ncr0650;TU1663;tRNA-OTHER, ncRNA;transcript;;TU1663 (6803t16, ncr0650) - Transcr Unit;Chr
7;All Replicates;9.18;0.918;-1;0;0;0.022;0.25;0.493;0.153;0.046;0.011;0.009;0.004;0.003;0.001;0.002;0.001;0;0.005;5;5.1505;1;5;RNA;transcript;NA;6803t18;6803t18;6803t18;TU1780;tRNA;transcript;;TU1780 (6803t18) - Transcr Unit;Chr
8;All Replicates;13.576;0.891;-1;0;0;0.015;0.199;0.44;0.224;0.071;0.011;0.012;0.005;0.008;0.005;0.004;0.001;0.001;0.003;5;5.4223;1;5;RNA;transcript;NA;6803t19;6803t19;6803t19;TU1890;tRNA;transcript;;TU1890 (6803t19) - Transcr Unit;Chr
8;All Replicates;18.012;0.917;-1;0;0;0.003;0.089;0.493;0.294;0.076;0.019;0.011;0.005;0.003;0.001;0.001;0.001;0.001;0.003;5;5.5743;1;5;RNA;transcript;NA;6803t20;6803t20;6803t20;TU1904;tRNA;transcript;;TU1904 (6803t20) - Transcr Unit;Chr
8;All Replicates;18.452;0.931;-1;0;0;0.001;0.075;0.432;0.323;0.111;0.029;0.011;0.005;0.003;0.002;0.002;0.001;0.001;0.004;5;5.7491;1;5;RNA;transcript;NA;6803t21;6803t21;6803t21;TU1910;tRNA;transcript;;TU1910 (6803t21) - Transcr Unit;Chr
8;All Replicates;13.453;0.863;-1;0;0;0.021;0.184;0.424;0.225;0.101;0.011;0.005;0.003;0.005;0.003;0.002;0.001;0.003;0.011;5;5.5321;1;5;RNA;transcript;NA;6803t22;6803t22;6803t22;TU2132;tRNA;transcript;;TU2132 (6803t22) - Transcr Unit;Chr
7;All Replicates;16.896;0.961;-1;0;0;0.027;0.236;0.497;0.137;0.061;0.01;0.016;0.003;0.004;0.002;0.001;0.001;0.001;0.003;5;5.1838;1;5;RNA;transcript;NA;6803t24;6803t24;6803t24;TU2175;tRNA;transcript;;TU2175 (6803t24) - Transcr Unit;Chr
7;All Replicates;11.567;0.87;-1;0;0.001;0.044;0.185;0.447;0.154;0.08;0.019;0.018;0.008;0.006;0.003;0.003;0.004;0.007;0.021;5;5.6784;1;5;RNA;transcript;NA;6803t25;6803t25;6803t25;TU2230;tRNA;transcript;;TU2230 (6803t25) - Transcr Unit;Chr
