locustag;genename;annotation;KEGG Orthology;database;MainCategory;MainPathway;Category;undefined;Pathway;Complex/Type;Details;Summary
sll0005;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
sll0095;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
sll0146;natC;"sll0146 high-affinity branched-chain amino acid transport protein; BraE";"K11955 natC; neutral amino acid transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0146,ssl3127;natC;"sll0146 high-affinity branched-chain amino acid transport protein; BraE";"K11955 natC; neutral amino acid transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0182;NA;sll0182 ABC transporter;"K02471 bacA; vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0194;ycf43;"sll0194 ycf43; hypothetical protein";"K03118 tatC; sec-independent protein translocase protein TatC";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn03070;Membrane transport;Bacterial secretion system;;Environmental Information Processing - Membrane transport - Bacterial secretion system
sll0237;NA;sll0237 unknown protein;"K02012 afuA; iron(III) transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0238;;sll0238 unknown protein;"K02011 afuB; iron(III) transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0240;;sll0240 ABC transporter;"K02010 afuC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0374;urtE;"sll0374 braG_or_livF; high-affinity branched-chain amino acid transport ATP-binding protein";"K11963 urtE; urea transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0382;;sll0382 unknown protein;"K16915 cbiL; nickel transport protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0383;cbiM;"sll0383 cbiM; CbiM protein";"K02007 cbiM; cobalt/nickel transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0384;;sll0384 unknown protein;"K02008 cbiQ; cobalt/nickel transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0385;;sll0385 ABC transporter;"K02006 cbiO; cobalt/nickel transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0496;;sll0496 unknown protein;"K11720 lptG; lipopolysaccharide export system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0540;NA;sll0540 hypothetical protein;"K02040 pstS; phosphate transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
