ID;type;length;Replicate;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F1415;F1617;F18
TU1;transcript;100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TU10;transcript;105;1;0;0;0;0;0;1.5;2.5;0;0;0;0;2.5;0;0;0;0
TU100;transcript;1192;1;0;0;0;0;0;1;0;6;6;2;0;0;2;0;0;0
TU1000;transcript;710;1;1;0;0;3;20;79;134;72;47;42;38;57;23.5;8;16;3
TU1001;transcript;143;1;0;0;0;0;0.5;10.5;35;32;40;21.5;11.5;8.5;4;2;3;0
TU1002;transcript;2506;1;0;3;60.5;191.83;622;1439.5;2774.5;1527;1210.5;901;564;474;193.5;85;74.5;8.5
TU1003;transcript;348;1;0;0;0;0;0;1;2;9;2;0;2;0;2;0;0;0
TU1004;transcript;92;1;101.5;194.5;14123.5;36123;65248.5;41396.5;36606;1939.5;1438.5;2101;4504;1752;406.5;478.5;774;493.5
TU1005;transcript;192;1;0.5;1.5;54;199.5;636;447;269.5;27.5;8;14.5;27.5;7.5;6.5;10.5;5.5;2
TU1006;transcript;1570;1;0;0;1;1;1;10;17;7;9;1;4;8.5;2;0;2;0
TU1007;transcript;628;1;0;0;0;1;2;4;15;1;0;0;4;2;0;0;0;0
TU1008;transcript;3687;1;0;0;9;5;58.25;174;450.5;270.5;228.5;168.5;120;112.5;52;22;16;5
TU1009;transcript;283;1;0;0;0;0;0;6;0;8;5;4;0;5;2;0;0;0
TU101;transcript;119;1;0;0;0;0;0.5;0;0;0;2.5;0;0;0;0;0;0;0
TU1010;transcript;1863;1;0;0;0;0;5;26;62;34.5;14.5;2.5;10;11.5;12;0;0;0
TU1011;transcript;100;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
TU1012;transcript;134;1;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0
TU1013;transcript;2521;1;0;0;0;0;0;6;10.5;11;10;6;6;2.5;0;2;0;0
TU1014;transcript;630;1;0;0;0;0;11;32;61.5;41.5;17.5;12;11;4;0;0;4;0
TU1015;transcript;1973;1;0;1;1;0;7;26;49.5;31.5;13.5;12;10;4;2;4;2;0
TU1016;transcript;1280;1;0;0;0;0;3;1;8;0;2;7;2;5;2;2;2;0
TU1017;transcript;100;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
TU1018;transcript;1032;1;0;0;0;0;2;2;3;5;1;0;2;2;0;2;0;0
TU1019;transcript;230;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TU102;transcript;217;1;0;0;0;1;2.5;0;0;2;0.5;0;1;0;0;0;0;0
TU1020;transcript;478;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
TU1021;transcript;117;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
TU1022;transcript;1074;1;0;0;0;0;0;4;0;4;0;0;0;0;2;0;0;0
TU1023;transcript;8074;1;0;0;22;10;124;518;951;478;314;243;168;181;91;53;44;2
TU1024;transcript;101;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
TU1025;transcript;99;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TU1026;transcript;888;1;0;0;0;0;2;4;15;7;3;10;2;3;3;2;6;0
TU1027;transcript;357;1;0;0;0;0;0;2;16;9;2;1;4;2;0;0;0;0
TU1028;transcript;203;1;0;0;0;0;0;0;0;1.5;2;3;1;0;0;0;0;0
TU1029;transcript;720;1;0;0;1;0;4;9;26;11.5;14;6;0;0;4;0;2;0
TU103;transcript;1526;1;0;0;4;3;8;36;54;33;28;12;12;4;4;4;2;0
TU1030;transcript;840;1;0;0;2;0;13.5;32.5;110;52;59;29.5;25.5;33.5;17;25;4;1
TU1031;transcript;1514;1;0;3;9;15;45;132;290.5;144;154;116.5;82.5;108.5;37;36;38.5;3
TU1032;transcript;1346;1;0;0;0;0;7;19;15;8;10;8;7;4;0;2;1;0
TU1033;transcript;945;1;0;0;0.5;1;10;36;51;27;15.5;11.5;13;10;11;4;4.5;0
TU1034;transcript;238;1;0;0;0;1;0;3;10.5;6;3.5;3.5;0.5;2;1;0;0;0
TU1035;transcript;2378;1;0;2;15.33;18;118;446;846;347;243;237;162;184;80;39;52;8
TU1036;transcript;1066;1;0;0;0;0;0;5;5;8;2;0;6;2;4;0;0;0
TU1037;transcript;1062;1;0;0;0;0;2;3.5;12;8.5;10.5;1.5;1;0;2;1;2;0
TU1038;transcript;190;1;0;0;0;0;2;6;16;1;4;4;3;2;0;2;0;0
TU1039;transcript;149;1;0;0;0;0;0;2;1;1;3;1;0;0;0;0;0;0
TU104;transcript;2474;1;0;0;1;1.5;0;7;8.5;13;10;2;3.5;0.5;1;3;0;0.33
TU1040;transcript;183;1;0;0;0;0;0;0;0;1;2;0;0;2;2;0;2;0
TU1041;transcript;2637;1;0;1;1;5;19;58.5;124;47.5;49.5;23.5;28;14;11;4;2;1
TU1042;transcript;385;1;0;0;0;0;0;2;4;7;3;4;0;3;0;0;0;0
TU1043;transcript;2556;1;0;0;0;4;7;51;87;23;17;16;13;5.5;10.5;2;2;0
TU1044;transcript;100;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
TU1045;transcript;136;1;0;0;0;1;0;4;6;5;4;4;0;2;2;0;0;0
TU1046;transcript;511;1;0;0;2;0;0;5;9;6;8;0.5;0;0;0;0;0;0
TU1047;transcript;700;1;0;0;0;0;0;10;13;15;9;1;5;4.5;7.5;2;0;0
TU1048;transcript;1230;1;0;0;0;0;4;17;19;17;2;13.5;5;5;0;2;0;0
TU1049;transcript;988;1;0;0;2;0;0;4;7;3;2;4;0;0;2;0;0;0
TU105;transcript;1335;1;0;0;0.5;0;3;20.5;26;17;5;11;5.5;15.5;8;0;0;0
TU1050;transcript;989;1;0;0;0;0;4;9;34;12;7;7;2;1;2;1;5;0
TU1051;transcript;1748;1;0;0;1;2;3;10;22;15;21;4;3;3;3;3;4;0
TU1052;transcript;865;1;0;0;0;0;12;29;77;29;19;16;19;17;9;1;8;0
TU1053;transcript;841;1;0;0;0;0;0.83;16;22;7;3.33;2;5;2;2;1;0;0
TU1054;transcript;61;1;0;0;0;0;0.83;0;0.5;1.5;0.33;0;0;0;0;0;0;0
TU1055;transcript;2743;1;0;0;7;12.33;48.33;169;436.5;301.5;169.33;118;88.5;97;37;20;28.5;6
TU1056;transcript;229;1;0;0;0;0;5;4;10;7;1;3;0;1.5;0;0;0;1
TU1057;transcript;165;1;0;0;0;1;3.5;4;4;4;0;0;0;0.5;0;2;0;0
TU1058;transcript;100;1;0;0;0;0;0;0;1;5;1;2;0;0;0;0;0;0
TU1059;transcript;102;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0
TU106;transcript;85;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
TU1060;transcript;3441;1;0;0;0;0.33;15;44;64;42;28;32;11.5;16;13;3;2.5;0
TU1061;transcript;100;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
