ClusterID;HomClusterID;Size;u_syn;genename;Description;E coli;S enterica;A thaliana;unclassified;Gloeobacter;Prochlorococcus;Synechococcus;A marina;Thermosynechococcus;C thermalis;C stagnale;N spumigena;Anabaena;Trichormus;Nostoc;Rivularia;Calothrix;C minutus;C epipsammum;Microcoleus;Gloeocapsa;Arthrospira;Cyanobacterium;Oscillatoria;T erythraeum;Pseudanabaena;Fischerella;Geitlerinema;Leptolyngbya;S cyanosphaera;Pleurocapsa;C gracile;Halothece;D salina;Candidatus atelocyanobacterium;M aeruginosa;Cyanothece;Synechocystis;Synechocystis 6803;Proteobacteria;Arabidopsis;Cyanobacteria;Conservation;Percentage
2709;56;12;slr0942;dkgA;2,5-diketo-D reductase;1;1;1;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.33;1;1;1;1;0.08;All;10
15030;2856;22;slr1109;XBAT32;Ankyrin repeat protein;1;0;1;0;0;0;0.2;1;0;1;0;1;0.5;0;0;1;0.5;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0.33;0.5;1;0.5;1;0.19;All;10
747;9;21;slr0440;bioH;Alpha/beta hydrolase fold protein;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0.5;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.33;1;1;1;1;0.22;All;10
4268;68;24;slr0842;KAT3;Cyclic nucleotide-binding protein;0;1;1;0;0;0;0.4;1;0;0;0;0;0.25;0;0.5;0;0.5;0;0;0;0;0;0.5;0.5;0;0;0;0;1;1;0;1;0;0;0;0;0.33;1;1;0.5;1;0.23;All;10
7659;479;96;sll0771;glcP;Sugar transporter;1;1;1;0;1;0;0.4;0;0;0;1;0;0.25;0;0.5;0;0;0;1;1;0;0;1;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0.67;1;1;1;1;0.24;All;10
6118;290;26;slr0541;guaA;GMP synthase - Glutamine amidotransferase;0;1;1;0;0;1;0.6;1;1;0;0;0;0;0;0.5;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.67;1;1;0.5;1;0.28;All;10
14969;2818;24;sml0013;rpmJ;50S ribosomal protein L36;1;1;1;0;0.5;0.4;0.6;1;1;0;0;0;0.5;1;0.5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0.5;1;0;1;1;1;0.29;All;10
14782;2731;30;slr1993;fadA;Acetyl-CoA acetyltransferase;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0.67;1;1;1;1;0.3;All;10
15085;2872;22;sll1987;katG;Catalase/peroxidase HPI;1;1;1;0;1;0;0.8;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0.31;All;10
15244;2949;25;slr0591;nrdB;Ribonucleoside-diphosphate reductase;1;1;1;1;0;0;0.2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;1;1;0.67;1;1;1;1;0.31;All;10
