locustag_ID;locustag;GenBank Accession;Molweight (kDa);length (nt);Transmembrane Helices (JGI);No_of_disordered_domains;length_of_disordered_domains;percentage_of_discordered_domain;tool_for_disordered_domains;Localisation(DavidLeaSmith);NbofTMHs(DavidLeaSmith);nr_of_interactions(Sato);self interaction(Sato);interactions(Sato)
sll0002;sll0002;NP_442139;92.611;2583;1;NA;NA;NA;NA;unknown;1;3;no;slr1652 smr0010 slr0011
sll0002-3UTR;sll0002;NP_442139;NA;168;1;NA;NA;NA;NA;unknown;1;3;no;slr1652 smr0010 slr0011
sll0002-5UTR;sll0002;NP_442139;NA;170;1;NA;NA;NA;NA;unknown;1;3;no;slr1652 smr0010 slr0011
sll0002-as;sll0002;NP_442139;NA;51;1;NA;NA;NA;NA;unknown;1;3;no;slr1652 smr0010 slr0011
sll0006;sll0006;NP_442135;43.979;1185;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0513
sll0006-3UTR;sll0006;NP_442135;NA;22;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0513
sll0006-5UTR;sll0006;NP_442135;NA;24;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0513
sll0006-as;sll0006;NP_442135;NA;74;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0513
sll0008;sll0008;NP_442133;19.022;510;1;NA;NA;NA;NA;unknown;0;1;no;sll0716
sll0010;sll0010;NP_442131;NA;381;0;NA;NA;NA;NA;NA;NA;4;no;slr0838 sll1398 sll1272 slr0364
sll0010-as;sll0010;NP_442131;NA;100;0;NA;NA;NA;NA;NA;NA;4;no;slr0838 sll1398 sll1272 slr0364
sll0010-as2;sll0010;NP_442131;NA;31;0;NA;NA;NA;NA;NA;NA;4;no;slr0838 sll1398 sll1272 slr0364
sll0016;sll0016;NP_442116;42.115;1152;1;NA;NA;NA;NA;Large ribosomal protein;0;1;no;slr1204
sll0016-3UTR;sll0016;NP_442116;NA;151;1;NA;NA;NA;NA;Large ribosomal protein;0;1;no;slr1204
sll0016-5UTR;sll0016;NP_442116;NA;107;1;NA;NA;NA;NA;Large ribosomal protein;0;1;no;slr1204
sll0017;sll0017;NP_442115;45.891;1302;0;6;91;0.209677419;VLXT;Soluble proteins;0;1;no;ssl2542
sll0017-3UTR;sll0017;NP_442115;NA;4;0;6;91;68.25;VLXT;Soluble proteins;0;1;no;ssl2542
sll0017-5UTR;sll0017;NP_442115;NA;80;0;6;91;3.4125;VLXT;Soluble proteins;0;1;no;ssl2542
sll0019;sll0019;NP_442113;42.532;1185;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0152
sll0019-3UTR;sll0019;NP_442113;NA;235;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0152
sll0019-5UTR;sll0019;NP_442113;NA;30;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0152
sll0021;sll0021;NP_442111;45.939;1251;0;NA;NA;NA;NA;Soluble proteins;0;6;no;sll0022 slr1591 slr1568 slr1774 ssl2807 slr1147
sll0021-3UTR;sll0021;NP_442111;NA;123;0;NA;NA;NA;NA;Soluble proteins;0;6;no;sll0022 slr1591 slr1568 slr1774 ssl2807 slr1147
sll0021-5UTR;sll0021;NP_442111;NA;43;0;NA;NA;NA;NA;Soluble proteins;0;6;no;sll0022 slr1591 slr1568 slr1774 ssl2807 slr1147
sll0023;sll0023;NP_442108;51.653;1344;0;NA;NA;NA;NA;unknown;0;3;no;sll1841 sll1454 sll0022
