ID;Majority_protein_ID;annotation;No_of_proteins;Mol_weight;Sequence_lengths;Reference_F1;Reference_F2;Reference_F3;Reference_F4;Reference_F5;Reference_F6;Reference_F7;Reference_F8;Reference_F9;Reference_F10;Reference_F11;Reference_F12;Reference_F13;Reference_F1415;Reference_F1617;Reference_F18;Repl1_F1;Repl1_F2;Repl1_F3;Repl1_F4;Repl1_F5;Repl1_F6;Repl1_F7;Repl1_F8;Repl1_F9;Repl1_F10;Repl1_F11;Repl1_F12;Repl1_F13;Repl1_F1415;Repl1_F1617;Repl1_F18;Repl2_F1;Repl2_F2;Repl2_F3;Repl2_F4;Repl2_F5;Repl2_F6;Repl2_F7;Repl2_F8;Repl2_F9;Repl2_F10;Repl2_F11;Repl2_F12;Repl2_F13;Repl2_F1415;Repl2_F1617;Repl2_F18;Repl3_F1;Repl3_F2;Repl3_F3;Repl3_F4;Repl3_F5;Repl3_F6;Repl3_F7;Repl3_F8;Repl3_F9;Repl3_F10;Repl3_F11;Repl3_F12;Repl3_F13;Repl3_F1415;Repl3_F1617;Repl3_F18
Norf1;Norf1;micro protein;1;5.4721;48;0;0;3478600;6977700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7239900;18552000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4953300;24222000;0;0;0;0;0;0;0;0;0;0;0;0
Norf2;Norf2;micro protein;1;7.8426;68;0;71776000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2107600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1839100;5927800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4569800;0;0;0;0;0;0;0;0;0;0;0;0;0
Norf7;Norf7;micro protein;1;6.8668;58;9116500;107150000;13199000;4156200;1874400;0;0;0;0;0;0;0;0;0;0;0;537450;17240000;15099000;7302900;1396800;0;0;0;0;0;0;0;0;0;0;0;2257000;31647000;32901000;0;0;0;0;0;1178700;811880;0;0;0;0;0;0;1002600;24341000;62642000;5427700;0;0;0;0;0;0;0;0;0;0;0;0
sll0002;sll0002;penicillin-binding protein;1;92.611;860;0;0;0;5851600;5441200;0;4736100;0;616550;2210400;3159100;7835100;10528000;35572000;1154100;26595000;0;0;0;5189800;0;14321000;0;0;290190;539010;557900;545530;765140;2596400;0;4538100;0;0;0;0;5200500;2794700;0;0;0;1779700;1780700;0;0;1381100;483410;5044700;0;0;0;0;6968700;6317400;4161000;0;0;724480;0;0;0;219030;1499000;3260100
sll0005;sll0005;hypothetical protein;1;77.347;681;0;0;2453400;5689900;7751100;5943100;3390300;0;0;0;0;0;0;0;0;0;0;465960;2964600;15698000;2918700;12111000;4187500;0;0;0;0;0;0;0;0;0;503140;0;0;19302000;14127000;67484000;6634500;2300300;0;0;0;0;0;0;0;0;135000;0;0;34075000;44223000;23063000;9843300;3517600;0;0;2132300;486890;0;0;0;0
sll0006;sll0006;putative aminotransferase;1;43.979;394;0;2681900;2299300;417440000;1754600000;817910000;233680000;180920000;64466000;30444000;1653500;1329900;1703700;0;222840;604270;0;645160;3897000;654310000;1057100000;843800000;186930000;65849000;24817000;9031100;942280;0;0;0;0;0;0;0;0;449720000;2026300000;1239900000;459800000;23031000;8234100;0;1633300;1470100;0;0;0;1029100;1014400;0;0;479590000;3094900000;3065700000;508710000;90716000;26344000;21003000;9286400;0;0;359420;0;0
sll0007;sll0007;hypothetical protein;1;21.249;191;2583000;352570000;95763000;35676000;0;0;0;0;0;0;0;0;0;0;0;0;187890;32612000;148820000;57882000;8395100;0;0;0;0;0;0;0;0;0;0;0;548610;57455000;200210000;35730000;9663800;0;0;0;754550;0;0;0;0;0;0;0;0;17289000;393590000;61028000;17796000;4281600;0;0;0;0;0;0;0;0;0;0
sll0008;sll0008;unknown protein;1;19.022;169;1899200;159840000;160020000;67219000;24559000;0;0;0;0;0;5575600;0;0;0;0;0;0;18820000;62240000;79114000;19253000;1980600;0;0;0;0;0;0;0;0;0;0;0;40269000;235290000;221250000;39460000;0;0;0;0;0;0;0;0;0;0;0;749020;28357000;538590000;253030000;35484000;0;0;0;0;0;0;0;0;0;0;0
sll0016;sll0016;probable membrane-bound lytic transglycosylase A;1;42.115;383;0;42641000;100460000;108990000;48261000;3299400;0;0;0;0;0;0;0;1462700;0;3140200;0;3928200;91802000;173230000;40985000;6596700;0;0;2565100;0;0;0;0;0;0;0;0;4859500;141900000;187480000;27821000;21219000;0;0;0;0;0;0;0;0;0;0;0;443410;301660000;300350000;91803000;4446800;11432000;0;0;0;0;0;0;0;0;0
sll0017;sll0017;glutamate-1-semialdehyde aminomutase;1;45.891;433;1854500;32843000;76833000;840490000;2240500000;1226300000;263620000;168420000;136020000;85248000;31473000;38185000;13448000;1935600;0;3796500;0;2508800;68501000;1121900000;1450000000;1096100000;290600000;114400000;39024000;24444000;12976000;5712200;0;0;0;703320;0;770970;32998000;1014800000;3159300000;2003000000;799410000;127710000;48444000;42813000;23780000;2714700;0;0;0;1030800;835220;8252100;64759000;1678900000;4019400000;3293200000;868960000;212440000;103180000;82486000;67579000;2956600;0;150910;245470;4064800
